"Rank","Mountain","Elevation","Prominence","Coordinates","Range [Note 4]","Range[Note 5]","Region [Note 6]","Country","First[5] ascent"
"206","Cima di Castello","3379","388","46°18′11″N 09°40′37″E﻿ / ﻿46.30306°N 9.67694°E﻿ / 46.30306; 9.67694﻿ (206. Cima di Castello (3379 m))","Bregaglia Range","II/A-15.III-B","Graub./Sondrio","CH/IT","1866"
"207","Großer Löffler","3379","368","47°01′57″N 11°54′57″E﻿ / ﻿47.03250°N 11.91583°E﻿ / 47.03250; 11.91583﻿ (207. Großer Löffler (3379 m))","Zillertal Alps","II/A-17.I-B","N-Tyrol/S-Tyrol","AT/IT","1843"
"208","Mont d'Ambin / Rocca d'Ambin","3378","501","45°09′24″N 06°53′04″E﻿ / ﻿45.15667°N 6.88444°E﻿ / 45.15667; 6.88444﻿ (208. Mont d'Ambin / Rocca d'Ambin (3378 m))","Northern Cottian Alps","I/A-04.III-B","Savoy/Turin","FR/IT","1823"
"209","Punta di Fontanella (it)","3378","333","45°54′22″N 07°33′21″E﻿ / ﻿45.90611°N 7.55583°E﻿ / 45.90611; 7.55583﻿ (209. Pta di Fontanella (3378 m))","Weisshorn-Matterhorn","I/B-09.II-A","Aosta Valley","IT","1864"
"210","Cima Viola","3374","1073","46°23′01″N 10°11′47″E﻿ / ﻿46.38361°N 10.19639°E﻿ / 46.38361; 10.19639﻿ (210. Cima Viola (3374 m))","Livigno Alps","II/A-15.IV-B","Sondrio","IT","1875"
"211","Blinnenhorn / Corno Cieco","3374","945","46°25′33″N 08°18′28″E﻿ / ﻿46.42583°N 8.30778°E﻿ / 46.42583; 8.30778﻿ (211. Blinnenhorn / Corno Cieco (3374 m))","Leone-Gotthard Alps","I/B-10.I-A","Valais/V-C-O","CH/IT","1866"
"212","Hoher Eichham","3371","329","47°03′14″N 12°24′24″E﻿ / ﻿47.05389°N 12.40667°E﻿ / 47.05389; 12.40667﻿ (212. Hoher Eichham (3371 m))","Venediger Group","II/A-17.II-A","East Tyrol","AT","1854"
"213","Monte Confinale (it)","3370","376","46°26′58″N 10°30′16″E﻿ / ﻿46.44944°N 10.50444°E﻿ / 46.44944; 10.50444﻿ (213. Monte Confinale (3370 m))","Ortler Alps","II/C-28.I-A","Sondrio","IT","1864"
"214","Pizzo Cengalo","3369","620","46°17′42″N 09°36′07″E﻿ / ﻿46.29500°N 9.60194°E﻿ / 46.29500; 9.60194﻿ (214. Pizzo Cengalo (3369 m))","Bregaglia Range","II/A-15.III-B","Graub./Sondrio","CH/IT","1866"
"215","Schwarzenstein","3369","342","47°00′36″N 11°52′27″E﻿ / ﻿47.01000°N 11.87417°E﻿ / 47.01000; 11.87417﻿ (215. Schwarzenstein (3369 m))","Zillertal Alps","II/A-17.I-B","N-Tyrol/S-Tyrol","AT/IT","1852"
"216","Hoher Tenn","3368","337","47°10′47″N 12°45′34″E﻿ / ﻿47.17972°N 12.75944°E﻿ / 47.17972; 12.75944﻿ (216. Hoher Tenn (3368 m))","Glockner Group","II/A-17.II-C","Salzburg","AT","1840"
"217","Malhamspitze","3368","321","47°02′57″N 12°15′34″E﻿ / ﻿47.04917°N 12.25944°E﻿ / 47.04917; 12.25944﻿ (217. Malhamspitzen (3368 m))","Venediger Group","II/A-17.II-A","East Tyrol","AT","1873"
"218","Egginer","3367","378","46°04′31″N 07°55′48″E﻿ / ﻿46.07528°N 7.93000°E﻿ / 46.07528; 7.93000﻿ (218. Egginer (3367 m))","Mischabel","I/B-09.V-A","Valais","CH",""
"218","Innere Schwarze Schneid","3367","293","46°55′27″N 10°55′17″E﻿ / ﻿46.92417°N 10.92139°E﻿ / 46.92417; 10.92139﻿ (Innere Schwarze Schneid (3367 m))","Ötztal Alps","II/A-16.I-A","North Tyrol","AT","1874"
"219","Piz Fora","3363","432","46°20′27″N 09°47′05″E﻿ / ﻿46.34083°N 9.78472°E﻿ / 46.34083; 9.78472﻿ (219. Piz Fora (3363 m))","Bernina Range","II/A-15.III-A","Graub./Sondrio","CH/IT","1875"
"220","Hochalmspitze","3360","946","47°00′54″N 13°19′16″E﻿ / ﻿47.01500°N 13.32111°E﻿ / 47.01500; 13.32111﻿ (220. Hochalmspitze (3360 m))","Ankogel Group","II/A-17.II-F","Carinthia","AT","1855"
"221","Corno dei Tre Signori","3360","361","46°20′35″N 10°30′56″E﻿ / ﻿46.34306°N 10.51556°E﻿ / 46.34306; 10.51556﻿ (221. Corno dei Tre Signori (3360 m))","Ortler Alps","II/C-28.I-A","Bresc/Sond/Trent","IT","1876"
"221","Großer Geiger","3360","293","47°05′35″N 12°18′32″E﻿ / ﻿47.09306°N 12.30889°E﻿ / 47.09306; 12.30889﻿ (Großer Geiger (3360 m))","Venediger Group","II/A-17.II-A","E-Tyrol/Salzburg","AT","1871"
"222","Wilde Leck","3359","309","47°00′10″N 11°03′45″E﻿ / ﻿47.00278°N 11.06250°E﻿ / 47.00278; 11.06250﻿ (222. Wilde Leck (3359 m))","Stubai Alps","II/A-16.II-A","North Tyrol","AT","1865"
"223","Schneebiger Nock / Ruthnerhorn","3358","544","46°54′19″N 12°05′03″E﻿ / ﻿46.90528°N 12.08417°E﻿ / 46.90528; 12.08417﻿ (223. Schneebiger Nock / Ruthnerhorn (3358 m))","Rieserferner Group","II/A-17.III-A","South Tyrol","IT","1866"
"224","Grande Roise (it)","3357","321","45°40′31″N 07°25′23″E﻿ / ﻿45.67528°N 7.42306°E﻿ / 45.67528; 7.42306﻿ (224. Grande Roise (3357 m))","Gran Paradiso Alps","I/B-07.IV-C","Aosta Valley","IT","1875"
"225","Rofelewand","3353","528","47°01′57″N 10°49′06″E﻿ / ﻿47.03250°N 10.81833°E﻿ / 47.03250; 10.81833﻿ (225. Rofelewand (3353 m))","Ötztal Alps","II/A-16.I-C","North Tyrol","AT","1873"
"226","Glockturm","3353","415","46°53′36″N 10°39′56″E﻿ / ﻿46.89333°N 10.66556°E﻿ / 46.89333; 10.66556﻿ (226. Glockturm (3353 m))","Ötztal Alps","II/A-16.I-A","North Tyrol","AT","1853"
"227","Puitkogel","3345","392","46°58′53″N 10°54′05″E﻿ / ﻿46.98139°N 10.90139°E﻿ / 46.98139; 10.90139﻿ (227. Puitkogel (3345 m))","Ötztal Alps","II/A-16.I-C","North Tyrol","AT","1894"
"228","Marmolada (Punta Penia)","3343","2134","46°26′05″N 11°51′03″E﻿ / ﻿46.43472°N 11.85083°E﻿ / 46.43472; 11.85083﻿ (228. Marmolada (Pta Penia) (3343 m))","Dolomites - NW","II/C-31.III-B","Belluno/Trentino","IT","1864"
"229","Bric de Rubren / Mongioia (fr)","3340","685","44°37′12″N 06°56′59″E﻿ / ﻿44.62000°N 6.94972°E﻿ / 44.62000; 6.94972﻿ (229. Bric de Rubren / Mongioia (3340 m))","Southern Cottian Alps","I/A-04.I-A","AdHP/Cuneo","FR/IT","1823"
"230","Piz Ela","3339","515","46°36′07″N 09°42′27″E﻿ / ﻿46.60194°N 9.70750°E﻿ / 46.60194; 9.70750﻿ (230. Piz Ela (3339 m))","Albula Alps","II/A-15.II-A","Graubünden","CH","1865"
"231","Roteck","3337","483","46°43′25″N 10°59′03″E﻿ / ﻿46.72361°N 10.98417°E﻿ / 46.72361; 10.98417﻿ (231. Roteck (3337 m))","Ötztal Alps","II/A-16.I-B","South Tyrol","IT","1872"
"232","Punta Sommeiller","3332","339","45°07′42″N 06°51′09″E﻿ / ﻿45.12833°N 6.85250°E﻿ / 45.12833; 6.85250﻿ (232. Pta Sommeiller (3332 m))","Northern Cottian Alps","I/A-04.III-B","U-Savoy/Turin","FR/IT","1871"
"233","Fuscherkarkopf","3331","490","47°05′56″N 12°44′44″E﻿ / ﻿47.09889°N 12.74556°E﻿ / 47.09889; 12.74556﻿ (233. Fuscherkarkopf (3331 m))","Glockner Group","II/A-17.II-C","Carinth/Salzburg","AT","1845"
"234","Corno Baitone","3330","483","46°10′23″N 10°26′28″E﻿ / ﻿46.17306°N 10.44111°E﻿ / 46.17306; 10.44111﻿ (234. Corno Baitone (3330 m))","Adamello-Presanella","II/C-28.III-A","Brescia","IT","1890"
"235","Mont Fort","3329","408","46°04′52″N 07°19′07″E﻿ / ﻿46.08111°N 7.31861°E﻿ / 46.08111; 7.31861﻿ (235. Mont Fort (3329 m))","Grand Combin Alps","I/B-09.I-D","Valais","CH","1866"
"236","Oberalpstock","3328","703","46°44′34″N 08°46′10″E﻿ / ﻿46.74278°N 8.76944°E﻿ / 46.74278; 8.76944﻿ (236. Oberalpstock (3328 m))","Glarus Alps","I/B-13.I-A","Graubünden/Uri","CH","1793"
"237","Grande Rochère","3326","836","45°48′49″N 07°03′41″E﻿ / ﻿45.81361°N 7.06139°E﻿ / 45.81361; 7.06139﻿ (237. Grande Rochère (3326 m))","Grand Combin Alps","I/B-09.I-A","Aosta Valley","IT","1832"
"238","Busazza","3326","304","46°13′26″N 10°36′40″E﻿ / ﻿46.22389°N 10.61111°E﻿ / 46.22389; 10.61111﻿ (238. Busazza (3326 m))","Adamello-Presanella","II/C-28.III-B","Trentino","IT","1889"
"239","Tête de Lauranoure (fr)","3325","385","44°55′35″N 06°09′07″E﻿ / ﻿44.92639°N 6.15194°E﻿ / 44.92639; 6.15194﻿ (239. Tête de Lauranoure (3325 m))","Massif des Écrins","I/A-05.III-E","Isère","FR","1879"
"240","Pizzo Scalino","3323","859","46°16′43″N 09°58′25″E﻿ / ﻿46.27861°N 9.97361°E﻿ / 46.27861; 9.97361﻿ (240. Pizzo Scalino (3323 m))","Bernina Range","II/A-15.III-A","Sondrio","IT","1830"
"241","Pic de Rochebrune","3320","1019","44°49′21″N 06°47′16″E﻿ / ﻿44.82250°N 6.78778°E﻿ / 44.82250; 6.78778﻿ (241. Pic de Rochebrune (3320 m))","Central Cottian Alps","I/A-04.II-B","Hautes-Alpes","FR","1819"
"242","Corno Bianco","3320","446","45°49′22″N 07°52′44″E﻿ / ﻿45.82278°N 7.87889°E﻿ / 45.82278; 7.87889﻿ (242. Corno Bianco (3320 m))","Monte Rosa Alps","I/B-09.III-C","Aosta/Vercelli","IT","1831"
"243","Testa Grigia / Groabhopt","3315","643","45°49′51″N 07°47′12″E﻿ / ﻿45.83083°N 7.78667°E﻿ / 45.83083; 7.78667﻿ (243. Testa Grigia / Groabhopt (3315 m))","Monte Rosa Alps","I/B-09.III-B","Aosta Valley","IT","1858"
"244","Mont Giusalet","3312","835","45°10′50″N 06°55′48″E﻿ / ﻿45.18056°N 6.93000°E﻿ / 45.18056; 6.93000﻿ (244. Mont Giusalet (3312 m))","Northern Cottian Alps","I/A-04.III-B","Savoy","FR","1871"
"245","Piz Buin","3312","544","46°50′39″N 10°07′07″E﻿ / ﻿46.84417°N 10.11861°E﻿ / 46.84417; 10.11861﻿ (245. Piz Buin (3312 m))","Silvretta","II/A-15.VI-A","Vorarlb/Graub.","AT/CH","1865"
"246","Mont Pelve","3312","335","45°21′22″N 06°46′36″E﻿ / ﻿45.35611°N 6.77667°E﻿ / 45.35611; 6.77667﻿ (246. Mont Pelve (3312 m))","Vanoise massif","I/B-07.II-D","Savoy","FR",""
"247","Torre di Lavina","3308","475","45°33′20″N 07°26′55″E﻿ / ﻿45.55556°N 7.44861°E﻿ / 45.55556; 7.44861﻿ (247. Pta Lavina (3308 m))","Gran Paradiso Alps","I/B-07.IV-A","Aosta/Turin","IT","1856"
"248","Pointe de l'Aiglière","3307","546","44°48′37″N 06°24′53″E﻿ / ﻿44.81028°N 6.41472°E﻿ / 44.81028; 6.41472﻿ (248. Pte de l'Aiglière (3307 m))","Massif des Écrins","I/A-05.III-C","Hautes-Alpes","FR",""
"249","Laaser Spitze/Orgelspitze","3305","318","46°33′43″N 10°43′04″E﻿ / ﻿46.56194°N 10.71778°E﻿ / 46.56194; 10.71778﻿ (249. Laaser Spitze / Orgelspitze (3305 m))","Ortler Alps","II/C-28.I-A","South Tyrol","IT","1855"
"250","Reichenspitze","3303","683","47°08′22″N 12°06′39″E﻿ / ﻿47.13944°N 12.11083°E﻿ / 47.13944; 12.11083﻿ (250. Reichenspitze (3303 m))","Zillertal Alps","II/A-17.I-D","N-Tyrol/Salzburg","AT","1856"
"251","Piz Paradisin","3302","875","46°25′34″N 10°07′02″E﻿ / ﻿46.42611°N 10.11722°E﻿ / 46.42611; 10.11722﻿ (251. Piz Paradisin (3302 m))","Livigno Alps","II/A-15.IV-B","Graub./Sondrio","CH/IT",""
"252","Punta Ramiere / Bric Froid","3302","673","44°51′51″N 06°55′54″E﻿ / ﻿44.86417°N 6.93167°E﻿ / 44.86417; 6.93167﻿ (252. Pta Ramiere / Bric Froid (3302 m))","Central Cottian Alps","I/A-04.II-B","H-Alpes/Turin","FR/IT","1877"
"253","Becca di Tos","3301","461","45°37′49″N 07°06′24″E﻿ / ﻿45.63028°N 7.10667°E﻿ / 45.63028; 7.10667﻿ (253. Becca di Tos (3301 m))","Graian Alps - Central","I/B-07.III-A","Aosta Valley","IT",""
"254","Verstanclahorn","3298","375","46°50′06″N 10°04′21″E﻿ / ﻿46.83500°N 10.07250°E﻿ / 46.83500; 10.07250﻿ (254. Verstanclahorn (3298 m))","Silvretta","II/A-15.VI-A","Graubünden","CH","1866"
"255","Cima Sud Argentera","3297","1306","44°10′41″N 07°18′21″E﻿ / ﻿44.17806°N 7.30583°E﻿ / 44.17806; 7.30583﻿ (255. Cima Sud Argentera (3297 m))","Maritime Alps","I/A-02.I-B","Cuneo","IT","1879"
"256","Monte Sobretta","3296","835","46°23′51″N 10°26′13″E﻿ / ﻿46.39750°N 10.43694°E﻿ / 46.39750; 10.43694﻿ (256. Monte Sobretta (3296 m))","Ortler Alps","II/C-28.I-B","Sondrio","IT",""
"257","Strahlkogel","3295","513","47°06′33″N 11°01′10″E﻿ / ﻿47.10917°N 11.01944°E﻿ / 47.10917; 11.01944﻿ (257. Strahlkogel (3295 m))","Stubai Alps","II/A-16.II-B","North Tyrol","AT","1833"
"258","Gross Schärhorn","3294","513","46°49′38″N 08°49′45″E﻿ / ﻿46.82722°N 8.82917°E﻿ / 46.82722; 8.82917﻿ (258. Gross Schärhorn (3294 m))","Glarus Alps","I/B-13.I-A","Uri","CH","1842"
"259","Muttler","3293","703","46°54′02″N 10°22′43″E﻿ / ﻿46.90056°N 10.37861°E﻿ / 46.90056; 10.37861﻿ (259. Muttler (3293 m))","Samnaun Alps","II/A-15.VI-B","Graubünden","CH","1859"
"260","Grand Glaiza / Punta Merciantaira (fr)","3293","496","44°51′00″N 06°52′55″E﻿ / ﻿44.85000°N 6.88194°E﻿ / 44.85000; 6.88194﻿ (260. Grand Glaiza / Pta Merciantaira (3293 m))","Central Cottian Alps","I/A-04.II-B","H-Alpes/Turin","FR/IT","1835"
"261","Hockenhorn","3293","348","46°25′42″N 07°44′39″E﻿ / ﻿46.42833°N 7.74417°E﻿ / 46.42833; 7.74417﻿ (261. Hockenhorn (3293 m))","Bernese Alps","I/B-12.II-D","Bern/Valais","CH","1840"
"262","Keeskogel","3291","374","47°08′11″N 12°18′43″E﻿ / ﻿47.13639°N 12.31194°E﻿ / 47.13639; 12.31194﻿ (262. Keeskogel (3291 m))","Venediger Group","II/A-17.II-A","Salzburg","AT","1840"
"263","Schlieferspitze","3290","514","47°07′21″N 12°14′36″E﻿ / ﻿47.12250°N 12.24333°E﻿ / 47.12250; 12.24333﻿ (263. Schlieferspitze (3290 m))","Venediger Group","II/A-17.II-A","Salzburg","AT","1871"
"264","M. Aiguillette / L'Asti (fr)","3287","472","44°41′29″N 07°01′36″E﻿ / ﻿44.69139°N 7.02667°E﻿ / 44.69139; 7.02667﻿ (264. M. Aig.tte / L'Asti (3287 m))","Southern Cottian Alps","I/A-04.I-C","H-Alpes/Cuneo","FR/IT",""
"265","Petzeck","3283","799","46°56′53″N 12°48′17″E﻿ / ﻿46.94806°N 12.80472°E﻿ / 46.94806; 12.80472﻿ (265. Petzeck (3283 m))","Schober Group","II/A-17.II-D","Carinthia","AT","1844"
"266","Punta di Pietra Rossa","3283","662","46°19′29″N 10°26′15″E﻿ / ﻿46.32472°N 10.43750°E﻿ / 46.32472; 10.43750﻿ (266. Pta di Pietra Rossa (3283 m))","Ortler Alps","II/C-28.I-B","Brescia","IT",""
"267","Ritzlihorn","3282","330","46°37′56″N 08°15′32″E﻿ / ﻿46.63222°N 8.25889°E﻿ / 46.63222; 8.25889﻿ (267. Ritzlihorn (3282 m))","Bernese Alps","I/B-12.II-C","Bern","CH","1816"
"268","Roter Knopf","3281","549","46°58′43″N 12°44′22″E﻿ / ﻿46.97861°N 12.73944°E﻿ / 46.97861; 12.73944﻿ (268. Roter Knopf (3281 m))","Schober Group","II/A-17.II-D","Carinthia/E-Tyrol","AT","1872"
"269","Piz Fliana","3281","406","46°49′38″N 10°06′31″E﻿ / ﻿46.82722°N 10.10861°E﻿ / 46.82722; 10.10861﻿ (269. Piz Fliana (3281 m))","Silvretta","II/A-15.VI-A","Graubünden","CH","1869"
"270","Rognosa di Sestriere","3280","575","44°56′05″N 06°55′52″E﻿ / ﻿44.93472°N 6.93111°E﻿ / 44.93472; 6.93111﻿ (270. Pta Rognosa di Sestriere (3280 m))","Central Cottian Alps","I/A-04.II-A","Turin","IT","1836"
"271","Pizzo Dosdè (it)","3280","308","46°24′36″N 10°13′33″E﻿ / ﻿46.41000°N 10.22583°E﻿ / 46.41000; 10.22583﻿ (271. Pizzo Dosdè (3280 m))","Livigno Alps","II/A-15.IV-B","Sondrio","IT","1879"
"272","Pizzo Tambo / Tambohorn","3279","1164","46°29′49″N 09°17′00″E﻿ / ﻿46.49694°N 9.28333°E﻿ / 46.49694; 9.28333﻿ (272. Pizzo Tambo / Tambohorn (3279 m))","Adula Alps","I/B-10.III-D","Graub./Sondrio","CH/IT","1828"
"273","Hohe Weiße","3279","384","46°44′44″N 11°02′14″E﻿ / ﻿46.74556°N 11.03722°E﻿ / 46.74556; 11.03722﻿ (273. Hohe Weiße (3279 m))","Ötztal Alps","II/A-16.I-B","South Tyrol","IT","1871"
"274","Habicht","3277","540","47°02′37″N 11°17′23″E﻿ / ﻿47.04361°N 11.28972°E﻿ / 47.04361; 11.28972﻿ (274. Habicht (3277 m))","Stubai Alps","II/A-16.II-A","North Tyrol","AT","1836"
"274","Gsallkopf","3277","295","47°02′16″N 10°48′18″E﻿ / ﻿47.03778°N 10.80500°E﻿ / 47.03778; 10.80500﻿ (Gsallkopf (3277 m))","Ötztal Alps","II/A-16.I-C","North Tyrol","AT","1894"
"275","Basòdino","3272","959","46°24′41″N 08°28′07″E﻿ / ﻿46.41139°N 8.46861°E﻿ / 46.41139; 8.46861﻿ (275. Basòdino (3272 m))","Ticino Alps","I/B-10.II-A","Ticino/V-C-O","CH/IT","1863"
"276","Helsenhorn","3272","586","46°18′17″N 08°11′30″E﻿ / ﻿46.30472°N 8.19167°E﻿ / 46.30472; 8.19167﻿ (276. Helsenhorn (3272 m))","Leone-Gotthard Alps","I/B-10.I-A","Valais","CH","1863"
"277","Pointe d'Archeboc","3272","439","45°35′01″N 06°58′49″E﻿ / ﻿45.58361°N 6.98028°E﻿ / 45.58361; 6.98028﻿ (277. Pte d'Archeboc (3272 m))","Graian Alps - Central","I/B-07.III-A","Savoy/Aosta","FR/IT",""
"278","Östliche Feuerstein","3268","428","46°58′18″N 11°14′40″E﻿ / ﻿46.97167°N 11.24444°E﻿ / 46.97167; 11.24444﻿ (278. Östliche Feuerstein (3268 m))","Stubai Alps","II/A-16.II-A","N-Tyrol/S-Tyrol","AT/IT","1854"
"279","Clariden","3267","413","46°50′31″N 08°52′17″E﻿ / ﻿46.84194°N 8.87139°E﻿ / 46.84194; 8.87139﻿ (279. Clariden (3267 m))","Glarus Alps","I/B-13.I-A","Glarus/Uri","CH","1863"
"280","Piz Üertsch","3267","396","46°35′47″N 09°50′11″E﻿ / ﻿46.59639°N 9.83639°E﻿ / 46.59639; 9.83639﻿ (280. Piz Üertsch (3267 m))","Albula Alps","II/A-15.II-B","Graubünden","CH","1847"
"281","Antelao","3264","1735","46°27′09″N 12°15′38″E﻿ / ﻿46.45250°N 12.26056°E﻿ / 46.45250; 12.26056﻿ (281. Antelao (3264 m))","Dolomites - NE","II/C-31.I-E","Belluno","IT","1863"
"282","Scima da Saoseo","3264","440","46°23′08″N 10°09′29″E﻿ / ﻿46.38556°N 10.15806°E﻿ / 46.38556; 10.15806﻿ (282. Scima da Saoseo (3264 m))","Livigno Alps","II/A-15.IV-B","Graub./Sondrio","CH/IT","1894"
"283","Piz Languard","3262","947","46°29′18″N 09°57′23″E﻿ / ﻿46.48833°N 9.95639°E﻿ / 46.48833; 9.95639﻿ (283. Piz Languard (3262 m))","Livigno Alps","II/A-15.IV-A","Graubünden","CH","1846"
"284","Piz Forbesch","3262","601","46°31′13″N 09°33′33″E﻿ / ﻿46.52028°N 9.55917°E﻿ / 46.52028; 9.55917﻿ (284. Piz Forbesch (3262 m))","Oberhalbstein Range","II/A-15.I-B","Graubünden","CH","1893"
"285","Dents du Midi: Haute Cime","3257","1796","46°09′40″N 06°55′24″E﻿ / ﻿46.16111°N 6.92333°E﻿ / 46.16111; 6.92333﻿ (285. Dents du Midi: Haute Cime (3257 m))","Chablais Alps","I/B-08.II-A","Valais","CH","1784"
"286","Hasenöhrl","3257","375","46°32′40″N 10°51′31″E﻿ / ﻿46.54444°N 10.85861°E﻿ / 46.54444; 10.85861﻿ (286. Hasenöhrl (3257 m))","Ortler Alps","II/C-28.I-A","South Tyrol","IT","1895"
"287","Gross Düssi / Piz Git","3256","429","46°47′30″N 08°49′39″E﻿ / ﻿46.79167°N 8.82750°E﻿ / 46.79167; 8.82750﻿ (287. Gross Düssi / Piz Git (3256 m))","Glarus Alps","I/B-13.I-A","Graubünden/Uri","CH","1841"
"288","Hocharn","3254","678","47°04′34″N 12°56′14″E﻿ / ﻿47.07611°N 12.93722°E﻿ / 47.07611; 12.93722﻿ (288. Hocharn (3254 m))","Goldberg Group","II/A-17.II-E","Carinth/Salzburg","AT","1827"
"289","Piz Tschütta / Stammerspitz","3254","406","46°54′13″N 10°20′35″E﻿ / ﻿46.90361°N 10.34306°E﻿ / 46.90361; 10.34306﻿ (289. Piz Tschütta / Stammerspitz (3254 m))","Samnaun Alps","II/A-15.VI-B","Graubünden","CH","1884"
"290","Sasseneire","3254","386","46°08′19″N 07°31′31″E﻿ / ﻿46.13861°N 7.52528°E﻿ / 46.13861; 7.52528﻿ (290. Sasseneire (3254 m))","Weisshorn-Matterhorn","I/B-09.II-C","Valais","CH","1835"
"291","Penne Blanche (it)","3254","349","45°37′08″N 07°25′37″E﻿ / ﻿45.61889°N 7.42694°E﻿ / 45.61889; 7.42694﻿ (291. Penne Blanche (3254 m))","Gran Paradiso Alps","I/B-07.IV-C","Aosta Valley","IT",""
"292","Berio Blanc (it)","3252","736","45°45′11″N 06°53′52″E﻿ / ﻿45.75306°N 6.89778°E﻿ / 45.75306; 6.89778﻿ (292. Monte Berio Blanc (3252 m))","Mont Blanc massif","I/B-07.III-B","Aosta Valley","IT",""
"293","Ankogel","3252","578","47°03′04″N 13°14′57″E﻿ / ﻿47.05111°N 13.24917°E﻿ / 47.05111; 13.24917﻿ (293. Ankogel (3252 m))","Ankogel Group","II/A-17.II-F","Carinth/Salzburg","AT","1762"
"294","Cavistrau / Brigelser Hörner","3252","448","46°47′04″N 08°58′26″E﻿ / ﻿46.78444°N 8.97389°E﻿ / 46.78444; 8.97389﻿ (294. Cavistrau / Brigelser Hörner (3252 m))","Glarus Alps","I/B-13.II-A","Graubünden","CH","1865"
"295","Rauhkofel","3251","593","47°04′34″N 12°05′31″E﻿ / ﻿47.07611°N 12.09194°E﻿ / 47.07611; 12.09194﻿ (295. Rauhkofel (3251 m))","Zillertal Alps","II/A-17.I-B","N-Tyrol/S-Tyrol","AT/IT","1853"
"296","Großer Hornkopf","3251","455","46°58′02″N 12°46′44″E﻿ / ﻿46.96722°N 12.77889°E﻿ / 46.96722; 12.77889﻿ (296. Großer Hornkopf (3251 m))","Schober Group","II/A-17.II-D","Carinthia","AT","1890"
"297","Wildhorn","3248","978","46°21′21″N 07°21′44″E﻿ / ﻿46.35583°N 7.36222°E﻿ / 46.35583; 7.36222﻿ (297. Wildhorn (3248 m))","Bernese Alps","I/B-12.II-F","Bern/Valais","CH","1843"
"298","Ringelspitz","3247","843","46°53′54″N 09°20′35″E﻿ / ﻿46.89833°N 9.34306°E﻿ / 46.89833; 9.34306﻿ (298. Ringelspitz (3247 m))","Glarus Alps","I/B-13.II-B","Graub./StGallen","CH","1865"
"299","Piz Ot","3246","631","46°32′36″N 09°48′37″E﻿ / ﻿46.54333°N 9.81028°E﻿ / 46.54333; 9.81028﻿ (299. Piz Ot (3246 m))","Albula Alps","II/A-15.II-A","Graubünden","CH","1830"
"300","Wasenhorn / Punta Terrarossa","3246","476","46°15′59″N 08°05′08″E﻿ / ﻿46.26639°N 8.08556°E﻿ / 46.26639; 8.08556﻿ (300. Wasenhorn / Pta Terrarossa (3246 m))","Leone-Gotthard Alps","I/B-10.I-A","Valais/V-C-O","CH/IT","1844"
"301","Punta Painale","3246","413","46°15′24″N 09°58′26″E﻿ / ﻿46.25667°N 9.97389°E﻿ / 46.25667; 9.97389﻿ (301. Pta Painale (3246 m))","Bernina Range","II/A-15.III-A","Sondrio","IT","1885"
"302","Platthorn","3246","361","46°09′59″N 07°51′40″E﻿ / ﻿46.16639°N 7.86111°E﻿ / 46.16639; 7.86111﻿ (302. Platthorn (3246 m))","Mischabel","I/B-09.V-A","Valais","CH",""
"303","Tofana di Mezzo","3244","1369","46°33′04″N 12°03′56″E﻿ / ﻿46.55111°N 12.06556°E﻿ / 46.55111; 12.06556﻿ (303. Tofana di Mezzo (3244 m))","Dolomites - NE","II/C-31.I-D","Belluno","IT","1863"
"304","Hohe Fürleg","3244","410","47°08′30″N 12°21′46″E﻿ / ﻿47.14167°N 12.36278°E﻿ / 47.14167; 12.36278﻿ (304. Hohe Fürleg (3244 m))","Venediger Group","II/A-17.II-A","E-Tyrol/Salzburg","AT","1894"
"305","Piz Bacun","3244","306","46°20′32″N 09°40′56″E﻿ / ﻿46.34222°N 9.68222°E﻿ / 46.34222; 9.68222﻿ (305. Piz Bacun (3244 m))","Bregaglia Range","II/A-15.III-B","Graubünden","CH","1883"
"306","Wildstrubel","3243","815","46°24′01″N 07°31′43″E﻿ / ﻿46.40028°N 7.52861°E﻿ / 46.40028; 7.52861﻿ (306. Wildstrubel (3243 m))","Bernese Alps","I/B-12.II-F","Bern/Valais","CH","1855"
"307","Tête de Soulaure / Pic Félix Neff (it)","3243","508","44°45′45″N 06°24′54″E﻿ / ﻿44.76250°N 6.41500°E﻿ / 44.76250; 6.41500﻿ (307. Tête de Soulaure / Pic Félix Neff (3243 m))","Massif des Écrins","I/A-05.III-C","Hautes-Alpes","FR",""
"308","Hochschober","3242","433","46°56′33″N 12°41′54″E﻿ / ﻿46.94250°N 12.69833°E﻿ / 46.94250; 12.69833﻿ (308. Hochschober (3242 m))","Schober Group","II/A-17.II-D","East Tyrol","AT","1852"
"309","Titlis","3238","978","46°46′19″N 08°26′16″E﻿ / ﻿46.77194°N 8.43778°E﻿ / 46.77194; 8.43778﻿ (309. Titlis (3238 m))","Urner Alps","I/B-12.I-B","Bern/Obwalden","CH","1739"
"310","Grand Golliat","3238","313","45°51′33″N 07°06′06″E﻿ / ﻿45.85917°N 7.10167°E﻿ / 45.85917; 7.10167﻿ (310. Grand Golliat (3238 m))","Grand Combin Alps","I/B-09.I-A","Valais/Aosta","CH/IT","1879"
